UID,제품타입,공기온도_K,공정온도_K,회전속도_rpm,토크_Nm,공구마모_min,고장여부
206,H,296.0,305.5,1512,40.9,219,0
207,M,301.3,310.7,1604,36.9,209,0
208,L,301.3,310.5,1565,41.2,62,0
209,M,299.2,308.9,1576,49.1,191,0
210,M,296.9,304.8,1758,26.5,77,0
211,L,301.3,312.0,1321,40.9,21,0
212,M,300.3,310.6,1322,53.9,231,0
213,M,300.8,309.0,1525,41.8,224,0
214,L,299.6,310.1,1347,38.8,248,0
215,M,295.1,304.5,1909,44.1,34,0
216,L,297.7,307.7,1538,46.7,154,0
217,L,306.2,317.8,1579,39.2,221,0
218,L,299.5,310.0,1625,38.2,194,0
219,L,300.9,310.0,1470,45.5,139,0
220,M,302.4,314.7,1406,51.0,225,0
221,H,301.1,310.2,1539,44.0,152,0
222,H,300.0,309.4,1575,37.1,180,0
223,H,301.9,313.3,1533,50.6,16,0
224,M,302.5,312.3,1463,45.8,164,0
225,M,300.8,309.1,1489,42.0,227,0
226,L,300.8,310.0,1563,58.5,202,1
227,L,299.6,308.2,1676,40.4,91,0
228,L,301.6,311.9,1609,51.6,205,0
229,H,299.7,311.0,1542,53.2,137,0
230,L,303.0,311.7,1472,45.7,37,0
231,M,299.0,308.4,1763,30.4,176,1
232,M,298.5,308.3,1533,35.5,138,0
233,H,300.4,311.8,1813,60.1,194,1
234,L,299.6,310.1,1582,41.0,98,0
235,L,299.7,308.8,1610,53.5,120,0
236,L,299.9,309.8,1473,40.3,173,0
237,M,302.7,313.8,1343,49.3,184,1
238,L,300.9,311.4,1604,47.1,247,0
239,L,299.3,308.5,1896,42.8,21,0
240,M,301.5,311.7,1674,53.2,46,0
241,H,300.3,310.7,1581,29.1,188,0
242,H,302.2,312.6,1639,49.2,208,0
243,L,296.7,307.6,1609,29.3,88,0
244,L,300.3,311.1,1457,46.5,193,0
245,M,301.6,312.0,1208,55.4,148,0
246,H,299.8,310.5,1727,37.8,53,0
247,H,299.9,309.5,1459,32.9,246,1
248,M,298.9,308.4,1629,46.5,95,0
249,M,298.4,306.3,1675,32.9,72,0
250,M,299.4,310.4,1242,47.7,124,0
251,M,298.0,308.5,1486,37.2,248,0
252,L,301.8,313.0,1734,41.3,127,0
253,L,303.1,312.9,1497,43.2,157,0
254,L,301.8,310.9,1590,38.4,91,0
255,M,297.8,308.0,1391,42.7,158,0
256,L,299.3,308.6,1387,49.8,217,0
257,M,300.1,311.4,1523,20.5,234,0
258,L,298.0,308.9,1388,40.8,124,0
259,H,298.3,306.0,1530,37.2,249,0
260,M,299.0,308.9,1498,35.8,11,0
261,L,297.3,307.9,1402,37.3,150,0
262,H,301.3,309.7,1541,55.1,191,0
263,L,303.5,314.1,1776,48.1,201,0
264,H,300.6,311.5,1666,43.4,90,0
265,L,300.2,310.5,1531,35.5,208,0
266,L,300.8,311.7,1606,43.9,198,1
267,M,299.1,308.8,1287,50.3,187,0
268,L,298.7,307.8,1505,31.2,146,0
269,M,298.6,308.7,1522,47.8,147,0
270,L,299.5,308.4,1586,48.4,181,0
271,L,301.4,311.8,1650,46.8,41,0
272,L,303.0,313.3,1745,34.8,0,0
273,H,298.1,307.3,1665,36.8,207,0
274,L,303.9,314.0,1526,32.6,217,0
275,L,301.9,311.2,1516,39.9,51,0
276,L,301.7,313.8,1452,22.5,111,0
277,L,303.2,313.7,1498,36.4,226,1
278,M,301.5,309.8,1422,24.4,19,0
279,L,302.7,314.1,1418,41.6,29,0
280,M,303.0,311.2,1501,47.0,169,1
281,M,298.2,307.8,1871,34.1,172,0
282,L,299.8,310.1,1789,46.7,187,0
283,L,301.5,312.0,1706,36.1,185,0
284,L,298.7,307.9,1656,43.9,230,0
285,M,301.4,310.5,1429,29.6,178,0
286,L,298.5,308.7,1431,41.2,92,0
287,M,298.6,308.7,1469,49.7,123,0
288,L,298.9,309.3,1383,35.5,66,0
289,L,302.1,312.2,1573,48.2,30,0
290,L,299.4,309.9,1239,50.3,55,0
291,L,300.6,311.1,1651,49.1,139,0
292,L,304.1,314.5,1387,28.8,131,0
293,L,303.0,313.6,1825,42.4,98,0
294,H,298.0,308.7,1411,21.8,201,0
295,M,300.6,309.8,1574,41.5,60,0
296,L,296.7,306.7,1238,26.2,108,0
297,M,297.1,307.3,1851,38.1,39,0
298,L,300.6,309.4,1685,23.9,109,0
299,L,301.3,311.9,1620,32.2,116,0
300,M,297.7,307.6,1305,32.1,129,0
301,M,300.1,310.7,2146,43.1,233,0
302,H,301.9,310.6,1789,34.0,25,0
303,M,297.7,308.1,1759,60.4,177,0
304,L,302.1,311.4,1520,30.7,106,0
305,L,300.7,311.1,1337,44.8,104,0
306,L,301.9,311.7,1364,48.5,152,0
307,L,298.1,306.1,1168,40.9,181,0
308,L,300.3,308.8,1290,34.4,169,0
309,L,302.0,312.9,1886,26.3,65,0
310,L,299.0,308.9,1439,26.9,59,0
311,M,298.4,308.7,1375,44.9,85,0
312,L,299.6,308.5,1917,46.1,177,0
313,L,297.7,308.0,1834,41.7,25,0
314,L,299.3,308.9,1668,28.8,210,0
315,L,300.6,309.8,1315,40.4,163,0
316,H,299.1,309.5,1682,53.3,112,0
317,M,301.7,312.7,1267,31.1,187,0
318,M,298.6,309.3,1368,46.5,56,0
319,H,300.3,308.9,1567,36.7,76,0
320,H,295.8,304.7,1248,33.6,145,0
321,H,299.3,308.0,1407,54.6,242,0
322,L,304.0,314.3,1402,50.0,89,0
323,L,299.0,308.7,1678,52.9,103,0
324,L,300.4,312.4,1381,33.0,132,0
325,H,297.4,307.6,1496,48.7,196,0
326,L,301.6,311.0,1528,28.7,142,0
327,M,301.8,312.1,1445,25.7,184,0
328,L,304.1,313.2,1576,26.7,84,0
329,L,302.2,312.8,1445,38.1,220,0
330,M,300.9,311.5,1440,21.6,19,0
331,H,296.9,307.7,1346,42.9,142,0
332,L,301.0,310.9,1508,53.6,0,0
333,H,301.8,309.7,1436,34.5,204,0
334,M,300.9,311.8,1533,31.9,63,0
335,L,300.3,311.1,1411,36.6,173,0
336,L,298.6,308.4,1614,45.3,4,0
337,L,301.6,311.1,1489,27.0,106,0
338,H,301.1,310.1,1462,46.7,203,0
339,L,302.8,313.1,1744,54.5,165,0
340,L,298.2,308.3,1596,41.6,218,0
341,L,298.4,310.3,1657,50.4,249,0
342,M,299.8,309.3,1393,40.7,153,0
343,L,297.7,307.1,1130,23.1,102,0
344,H,298.3,309.1,1460,43.2,19,0
345,L,302.8,313.4,1437,39.9,14,0
346,L,299.9,309.7,1511,46.1,150,0
347,M,301.7,312.0,1598,36.0,178,0
348,L,297.9,307.8,1488,51.0,146,0
349,L,296.8,306.4,1535,20.6,95,0
350,L,296.7,308.7,1638,39.1,191,1
351,H,300.1,310.9,1656,42.1,244,0
352,H,298.6,309.3,1697,25.4,161,0
353,M,298.1,307.8,1404,40.3,179,0
354,L,299.9,309.7,1456,29.9,177,0
355,M,299.4,308.3,1852,41.9,171,0
356,L,295.9,306.0,1397,42.0,93,0
357,H,299.5,310.6,1478,20.9,13,0
358,M,299.3,310.7,1360,34.3,103,0
359,H,301.2,311.8,1522,31.0,63,0
360,L,297.7,305.9,1300,59.7,247,0
361,M,301.7,310.8,1341,40.3,41,0
362,M,299.9,309.2,1694,54.8,3,0
363,M,299.9,309.4,1492,51.6,156,0
364,L,294.3,304.6,1464,51.3,134,0
365,L,301.1,312.8,1314,41.5,120,0
366,M,302.5,311.6,1439,42.2,97,1
367,L,302.6,311.4,1269,42.5,82,0
368,L,300.6,310.9,1687,48.5,180,0
369,L,300.0,308.8,1934,43.6,227,0
370,M,299.2,307.1,1415,40.4,226,0
371,M,300.3,309.4,1623,60.2,58,0
372,M,300.3,309.5,1429,39.4,220,0
373,M,301.3,313.0,1478,59.0,66,0
374,H,302.4,312.5,1642,17.5,53,0
375,L,295.9,305.8,1894,34.4,137,0
376,M,298.5,308.3,1718,48.5,176,0
377,L,296.5,306.7,1360,56.1,121,0
378,H,299.2,308.2,1378,41.5,225,0
379,M,299.2,309.2,1528,49.3,117,0
380,L,299.7,310.4,1489,54.8,222,1
381,L,300.1,310.5,1697,52.7,49,0
382,M,299.9,309.7,1360,52.1,175,0
383,H,300.6,310.8,1505,49.2,168,1
384,M,302.2,312.9,1617,44.0,118,0
385,L,303.7,313.1,1400,50.8,84,0
386,M,302.3,310.5,1333,34.5,126,0
387,L,300.3,311.8,1592,40.6,75,0
388,L,300.4,310.6,1635,31.4,240,0
389,L,299.5,309.5,1198,44.0,68,0
390,L,300.7,308.8,1522,41.9,55,0
391,M,299.3,309.6,1606,29.5,190,0
392,M,299.2,307.3,1126,42.8,161,0
393,L,300.2,311.1,1615,44.5,100,0
394,L,302.5,312.3,1463,31.8,201,0
395,L,299.1,309.2,1821,47.3,66,0
396,L,298.9,309.0,1471,41.1,124,0
397,M,302.3,310.6,1353,23.8,44,0
398,L,299.4,308.8,1110,46.7,66,0
399,L,299.3,307.1,1294,46.9,37,0
400,H,300.5,309.7,1659,41.0,132,0
401,L,298.0,308.3,1579,27.2,244,0
402,L,302.7,311.4,1148,46.6,138,0
403,L,300.1,309.9,1484,30.2,242,0
404,L,298.2,309.6,1492,11.4,99,0
405,L,299.0,308.5,1340,20.3,240,0
406,L,302.2,312.7,1395,45.7,223,0
407,M,301.2,311.7,1616,44.4,155,0
408,H,299.3,310.4,1615,33.3,59,0
409,H,299.6,311.8,1640,53.4,35,0
410,L,299.2,309.1,1710,26.1,65,0
411,M,301.7,312.2,1275,48.2,60,0
412,L,297.5,308.5,1593,32.0,69,0
413,H,300.4,311.9,1441,23.1,53,0
414,M,302.1,312.1,1954,44.9,63,0
415,H,301.6,311.0,1662,46.1,143,0
416,L,302.0,313.0,1560,37.8,1,0
417,H,299.5,309.5,1753,27.3,203,0
418,L,300.4,309.0,1707,26.8,238,0
419,L,300.3,310.6,1390,53.7,172,1
420,L,305.0,315.0,1596,54.3,72,0
421,L,299.6,309.4,1773,35.9,130,0
422,L,298.9,310.6,1857,40.8,155,0
423,H,296.7,308.1,1611,41.3,92,0
424,L,300.8,311.0,1628,64.9,72,0
425,L,298.8,308.8,1249,43.2,161,1
426,L,299.9,307.2,1587,27.6,66,0
427,L,300.5,309.4,1368,38.0,44,0
428,M,302.0,312.9,1669,23.0,130,0
429,M,298.0,307.5,1667,44.5,124,0
430,H,301.5,311.3,1171,43.7,23,0
431,L,300.5,311.0,1514,54.7,237,0
432,L,299.9,308.8,1531,36.2,120,0
433,L,295.0,305.9,1676,36.7,178,0
434,L,300.5,310.9,1550,55.7,30,0
435,L,301.6,312.0,1492,42.5,124,0
436,M,298.3,308.6,1427,26.3,102,0
437,M,301.2,312.0,1605,31.5,70,0
438,L,299.1,309.8,1720,32.0,192,0
439,M,296.6,307.1,1601,47.5,191,1
440,L,302.5,313.2,1315,47.4,64,0
441,H,302.8,313.3,1503,43.4,119,0
442,L,297.9,308.5,1714,23.7,73,0
443,L,300.7,311.2,1390,31.8,129,0
444,M,300.9,310.3,1664,30.3,150,0
445,M,302.4,312.6,1556,47.7,240,1
446,H,303.1,312.4,1785,30.3,82,0
447,M,298.0,307.8,1639,40.5,70,0
448,L,299.9,308.3,1574,48.5,110,0
449,M,301.9,309.6,1516,51.3,218,1
450,L,301.2,311.2,1780,43.3,80,0
451,M,304.6,313.7,1560,36.4,99,0
452,M,300.7,310.2,1599,25.5,100,0
453,L,299.0,310.9,1445,51.5,171,0
454,H,302.8,311.8,1343,52.8,59,0
455,M,300.0,310.0,1539,31.6,142,0
456,H,302.6,312.9,1334,56.0,172,0
457,H,297.8,308.4,1667,30.9,88,0
458,L,299.3,309.7,1791,26.7,150,0
459,L,295.9,306.9,1408,21.6,243,0
460,M,296.5,307.2,1634,57.9,209,0
461,L,299.8,311.4,1462,57.2,233,0
462,M,299.0,311.5,1633,44.3,72,0
463,M,299.1,309.9,1343,19.8,190,0
464,L,298.5,309.0,1638,32.1,33,0
465,L,302.5,310.4,1680,42.4,237,0
466,L,298.6,308.3,1729,51.7,208,1
467,M,299.2,308.1,1954,38.7,27,0
468,L,302.7,312.6,1466,42.2,43,0
469,H,301.9,313.8,1630,43.0,127,0
470,L,299.2,310.0,1635,38.3,236,0
471,M,299.6,309.5,1800,37.1,72,0
472,L,301.0,312.2,1553,44.2,200,0
473,L,301.7,312.9,1581,37.4,136,0
474,H,297.5,307.9,1677,34.5,220,0
475,L,300.0,309.9,1966,23.4,59,0
476,H,300.2,310.2,1248,30.0,104,0
477,L,295.4,307.0,1685,48.9,11,0
478,L,301.9,310.7,1663,36.0,191,0
479,L,299.8,309.4,1874,34.3,75,0
480,M,304.1,313.3,1369,46.3,19,0
481,M,303.6,315.4,1668,47.4,91,0
482,H,298.8,308.1,1479,46.2,133,0
483,H,301.6,312.9,1500,39.2,202,0
484,L,300.6,309.7,1663,43.7,30,0
485,H,301.2,312.6,1841,47.4,33,0
486,L,298.5,306.8,1703,27.9,60,0
487,H,298.7,308.6,1930,43.8,98,0
488,L,295.4,304.9,1597,42.7,91,0
489,L,298.1,307.0,1666,37.2,203,0
490,M,297.2,306.4,1496,33.1,238,0
491,L,301.0,311.5,1681,35.9,113,0
492,M,299.4,308.2,1562,52.1,4,0
493,L,300.1,311.1,1550,21.4,123,0
494,M,301.4,311.3,1587,53.6,85,0
495,L,299.5,308.2,1673,36.4,207,0
496,H,300.8,308.4,1790,45.3,142,0
497,M,298.4,307.1,1497,37.5,25,0
498,L,298.2,308.2,1304,24.6,17,0
499,M,299.1,307.5,1579,34.9,160,0
500,L,301.9,311.5,1592,44.2,159,1
501,M,297.3,307.4,1502,26.4,232,0
502,L,297.9,306.7,1141,45.7,83,0
503,M,299.9,308.3,1367,23.0,117,0
504,L,300.9,311.3,1610,21.1,30,0
505,M,298.5,310.2,1623,40.0,143,0
506,L,302.6,311.6,1535,31.1,205,1
507,H,300.1,309.7,1373,50.4,135,0
508,H,297.4,307.8,1259,44.1,163,0
509,H,303.8,316.1,1610,40.1,111,0
510,L,297.8,308.1,1497,41.5,39,0
511,M,299.5,311.3,1613,36.4,171,0
512,L,304.0,313.5,1507,38.1,99,0
513,H,299.9,309.1,2022,34.9,179,0
514,L,301.4,311.7,1337,53.2,190,0
515,L,298.0,306.3,1478,33.8,248,0
516,L,299.6,310.9,1343,20.7,140,0
517,L,298.8,308.7,1402,40.2,123,1
518,L,299.8,308.3,1470,46.6,22,0
519,L,300.1,308.9,1775,46.8,126,0
520,L,299.4,308.2,1430,27.1,234,0
521,M,299.2,305.9,1396,45.2,101,0
522,H,303.5,311.4,1622,28.8,232,0
523,M,296.9,306.8,1802,38.5,140,0
524,L,300.5,310.9,1473,52.6,220,0
525,L,300.0,309.5,1498,34.3,104,0
526,H,300.1,310.3,1680,35.2,183,0
527,M,295.4,305.2,1272,57.2,241,0
528,H,302.1,312.5,1544,37.1,111,0
529,H,299.2,310.3,1345,40.7,242,0
530,M,299.3,308.9,1663,24.0,135,0
531,M,301.6,310.8,1790,50.8,126,0
532,M,298.8,309.3,1444,40.8,165,0
533,M,303.2,314.1,2057,37.6,23,0
534,L,304.0,314.2,1541,39.7,205,0
535,M,296.6,308.4,1828,31.5,12,0
536,L,301.6,310.6,1277,46.1,71,0
537,H,297.5,307.4,1779,44.6,232,0
538,H,297.5,309.0,1014,28.0,213,1
539,H,301.0,311.1,1745,53.3,143,0
540,L,300.1,311.6,1748,51.4,147,0
541,L,297.6,307.1,1538,38.7,72,0
542,L,297.0,305.9,1520,25.1,211,0
543,L,300.2,310.4,1432,29.9,29,0
544,L,299.6,310.7,1332,50.9,148,0
545,L,300.5,309.9,1424,38.7,169,0
546,M,303.0,313.0,1608,22.5,94,0
547,L,298.9,308.3,1469,33.4,212,0
548,M,302.2,314.2,1609,36.6,63,0
549,M,300.5,309.6,1366,44.7,137,0
550,L,302.1,314.0,1861,31.2,18,0
551,L,300.3,309.2,1433,31.1,50,0
552,L,301.5,311.0,1330,21.4,212,0
553,M,298.8,308.8,1281,47.8,73,0
554,L,297.3,307.7,1471,39.2,60,0
555,M,302.1,313.2,1383,36.1,125,0
556,H,294.2,304.7,1450,41.7,161,0
557,M,297.8,307.5,1589,23.6,197,0
558,M,297.6,307.1,1259,44.2,100,0
559,M,299.8,310.4,1663,29.7,76,0
560,L,300.7,309.7,1464,35.3,12,0
561,L,297.3,307.3,1542,36.8,234,0
562,M,298.0,308.3,1471,39.8,91,0
563,L,297.6,308.1,1465,58.9,91,0
564,L,301.0,312.3,1467,43.9,183,0
565,M,301.5,311.2,1651,52.8,24,0
566,L,300.6,311.8,1840,32.1,93,0
567,L,299.1,309.2,1333,31.8,42,0
568,H,298.4,308.7,1578,22.1,244,0
569,L,304.8,315.7,1446,27.0,70,0
570,M,297.1,306.7,1548,50.1,149,0
571,H,299.5,308.7,1937,34.3,246,0
572,H,297.9,310.3,1682,45.7,208,0
573,H,299.1,309.1,1398,48.7,177,0
574,L,298.7,308.1,1763,39.7,16,0
575,H,301.3,312.3,1686,51.8,143,0
576,M,303.5,314.9,1414,23.1,142,0
577,H,300.1,310.0,1844,42.0,145,0
578,M,299.3,308.5,1776,29.2,137,0
579,L,298.1,309.0,1708,56.4,153,0
580,L,301.3,311.4,1443,36.7,172,0
581,M,302.3,313.5,1601,38.2,38,0
582,L,299.7,307.3,1541,26.0,233,0
583,L,300.0,310.8,1564,50.8,113,0
584,L,302.0,313.1,1619,29.4,168,0
585,H,298.0,308.2,1971,37.5,133,0
586,L,302.4,313.5,1040,61.1,191,0
587,L,299.5,308.7,1725,36.4,5,0
588,H,300.5,309.8,1649,37.9,89,0
589,L,299.0,310.0,1642,42.9,158,0
590,H,301.7,310.8,1606,40.1,131,0
591,H,299.8,309.2,1289,32.3,246,0
592,H,300.4,311.5,1482,31.3,114,0
593,L,300.0,312.3,1531,32.5,130,0
594,H,302.0,312.0,1436,62.9,8,0
595,L,300.1,309.3,1596,27.7,228,0
596,M,301.9,311.1,1690,61.5,192,0
597,M,300.8,311.0,1287,20.2,28,0
598,H,300.2,310.4,1411,55.1,217,0
599,M,295.9,306.5,1783,40.5,180,0
600,M,299.7,309.6,1446,43.5,233,0
601,M,300.6,311.4,1415,34.9,161,0
602,M,298.1,307.8,1658,31.0,156,0
603,L,300.9,310.0,1804,41.2,214,1
604,L,301.5,311.6,1268,52.2,129,0
